Δ,λ,q,curvature
4,0.05,0.0017721920485624897,1.7615234441724186
4,0.1,0.005422951852394822,5.344050322809297
4,0.2,0.014390538323297375,13.976435337315422
4,0.3,0.02365803572587686,22.75945000608515
6,0.05,0.0015450851700240624,1.534634229863807
6,0.1,0.004391867579614576,4.330332340454074
6,0.2,0.010752860388566337,10.515342452478706
6,0.3,0.01691204390460811,16.506867269585474
8,0.05,0.001367932609800203,1.35836430587271
8,0.1,0.003676063016909612,3.629453867689311
8,0.2,0.00850560354304497,8.369009836903253
8,0.3,0.012986747230118815,12.813518766634225
10,0.05,0.0012257250432930983,1.2172123333008702
10,0.1,0.0031499108170732417,3.114811387566318
10,0.2,0.006983483489314449,6.906478632780211
10,0.3,0.01043284124775741,10.377190185106162
